PaperCount,Citation,HIndex,PIndex,AIndex
1,1,1.0,0.3333,0.6111
2,7,0.0,1.75,3.6458
112,1333,18.0,477.7024,360.3689
24,161,7.0,42.05,52.1364
13,33,3.0,10.5,7.1167
4,18,3.0,5.3333,8.5278
27,1345,13.0,540.475,714.7239
2,11,0.0,2.1667,1.4722
65,317,9.0,127.5833,91.3403
39,173,9.0,88.15,91.7684
1,0,0.0,0.0,0.0
1,20,1.0,5.0,1.25
11,25,2.0,5.7679,4.7778
107,1003,17.0,611.8583,568.236
42,950,12.0,213.9491,318.0429
5,1,1.0,0.125,0.0793
2,1,1.0,0.1667,0.1028
2,55,0.0,22.5,36.6667
1,7,1.0,0.875,2.3781
4,79,0.0,22.9833,27.3703
29,119,6.0,42.9833,41.4814
5,56,2.0,14.1429,5.6395
2,0,0.0,0.0,0.0
1,5,1.0,1.0,2.2833
8,442,6.0,82.4881,84.5708
1,9,1.0,1.8,1.41
1,0,0.0,0.0,0.0
68,106,6.0,51.75,60.6764
3,0,0.0,0.0,0.0
60,160,6.0,68.5667,52.4856
3,3,1.0,0.4286,1.1112
4,14,2.0,5.4167,5.5347
12,68,5.0,24.0,24.9167
2,48,0.0,7.5476,14.0461
7,19,3.0,4.0417,1.1372
1,0,0.0,0.0,0.0
4,8,2.0,1.1528,0.7135
1,0,0.0,0.0,0.0
3,8,1.0,1.6,1.2533
27,343,9.0,168.625,133.074
5,24,1.0,6.0333,3.9511
6,6,1.0,2.0833,0.9653
18,92,6.0,34.9167,38.6514
14,12,2.0,2.7667,2.3033
17,137,7.0,38.7738,46.5349
2,4,0.0,0.9524,0.7726
17,257,8.0,86.2833,117.8469
36,175,8.0,57.6048,83.4827
2,0,0.0,0.0,0.0
39,251,8.0,50.0694,79.0876
16,139,5.0,27.8429,30.4201
5,2,1.0,0.8333,1.0278
11,33,4.0,12.25,16.0092
1,29,1.0,4.8333,1.7722
87,876,17.0,352.8833,303.1642
1,0,0.0,0.0,0.0
52,496,9.0,140.2,231.615
6,52,3.0,13.7083,17.571
9,7,2.0,2.1667,2.9306
5,43,4.0,15.1667,23.2317
1,4,1.0,1.0,1.0833
19,283,6.0,97.6167,143.9483
4,163,0.0,44.9167,37.6181
6,242,5.0,130.277,142.0682
10,10,2.0,4.8333,4.5278
1,2,1.0,1.0,1.5
14,113,4.0,26.9667,24.1211
18,55,4.0,24.0722,33.0695
3,0,0.0,0.0,0.0
149,3716,34.0,1134.8534,718.5824
8,7,2.0,1.3333,2.2028
1,0,0.0,0.0,0.0
5,94,0.0,20.7667,8.3478
5,1,1.0,0.0625,0.0345
2,55,0.0,10.7143,10.4116
15,107,6.0,43.2167,27.7864
21,93,6.0,32.25,29.7518
11,41,3.0,9.375,7.8277
2,0,0.0,0.0,0.0
2,11,0.0,3.6667,6.7222
2,10,0.0,1.9444,1.2064
1,2,1.0,0.6667,1.2222
1,0,0.0,0.0,0.0
1,1,1.0,0.3333,0.6111
12,288,9.0,62.8449,32.9014
2,68,0.0,16.3571,32.9427
1,5,1.0,1.25,0.3125
2,4,1.0,1.0,1.0833
75,435,12.0,165.0262,158.438
27,83,5.0,25.8333,20.1972
1,4,1.0,0.5714,0.0816
41,271,8.0,89.3333,86.9444
58,1055,19.0,364.6024,290.6317
28,459,9.0,134.7262,117.8825
3,4,1.0,1.0,2.0833
13,35,2.0,8.5667,2.7939
1,0,0.0,0.0,0.0
1,20,1.0,4.0,3.1333
2,2,1.0,0.5,0.7694
8,25,4.0,7.5,4.3333
6,62,3.0,31.5,32.25
43,218,10.0,66.3333,73.5417
50,231,9.0,102.4722,88.5642
4,2,1.0,0.5,0.5417
58,2210,24.0,1019.1145,1321.7446
1,1,1.0,0.1667,0.0278
52,86,5.0,32.256,27.9994
13,126,7.0,36.5167,60.1047
4,4,1.0,3.1429,3.0442
7,128,5.0,27.1,54.9783
6,14,3.0,2.3528,3.1082
8,64,3.0,28.0,28.2667
12,1,1.0,0.2,0.1567
37,502,12.0,267.8333,303.0694
24,89,4.0,24.4833,23.0119
16,55,5.0,16.3436,14.4945
30,141,6.0,34.7167,44.2701
4,3,1.0,0.6111,1.356
24,56,4.0,12.5012,9.3579
13,135,6.0,65.2,38.2567
2,16,0.0,2.8333,1.3972
54,205,8.0,92.0355,89.3852
12,23,3.0,7.1667,7.5056
48,1093,14.0,860.5709,912.1252
32,692,8.0,205.8583,343.2181
2,2,1.0,0.3333,0.3167
2,5,0.0,3.5,4.0417
8,17,3.0,3.8833,4.0169
174,3328,30.0,918.9403,452.585
4,18,2.0,5.25,5.8125
66,692,13.0,259.7,239.1261
2,3,1.0,0.5,0.0833
19,161,7.0,44.169,66.8322
4,59,2.0,15.7333,13.4578
1,0,0.0,0.0,0.0
4,92,2.0,6.2548,0.6673
1,0,0.0,0.0,0.0
4,8,2.0,2.0,4.1667
8,8,1.0,2.5833,2.3403
1,13,1.0,3.25,0.8125
19,59,4.0,18.1667,27.0139
3,63,2.0,3.9625,1.3122
25,212,9.0,77.9333,92.11
36,133,7.0,40.9167,63.2403
11,37,3.0,13.6667,19.7222
10,135,5.0,30.7917,47.6276
28,82,6.0,16.1008,18.4657
7,138,4.0,34.8333,56.7361
1,0,0.0,0.0,0.0
2,1,1.0,0.1429,0.2276
4,143,0.0,30.6,38.045
64,919,17.0,324.0548,268.1798
53,298,8.0,83.3214,73.3694
7,9,2.0,2.1167,0.5247
14,28,3.0,6.0286,6.961
1,0,0.0,0.0,0.0
8,12,2.0,2.5833,2.3653
36,243,7.0,73.4881,93.9751
1,0,0.0,0.0,0.0
2,24,0.0,8.0,6.6667
1,12,1.0,1.7143,0.5306
3,2,1.0,0.75,1.2708
1,3,1.0,0.6,0.47
5,346,0.0,103.6429,73.4799
16,59,3.0,15.5833,22.5403
1,2,1.0,0.4,0.3133
35,329,10.0,127.3202,197.5605
3,1,1.0,0.5,0.25
11,503,9.0,164.2667,189.6005
2,25,1.0,8.3333,2.7778
2,0,0.0,0.0,0.0
1,1,1.0,0.2,0.1567
34,195,8.0,57.1864,49.7883
100,1107,22.0,336.6405,250.935
30,107,3.0,23.125,30.1432
8,92,4.0,33.3667,57.0956
1,18,1.0,2.5714,4.0959
63,170,7.0,22.7101,12.5629
28,267,10.0,56.6747,64.8291
1,2,1.0,1.0,1.5
7,6,2.0,1.4,0.5244
5,104,0.0,25.1,12.195
2,2,1.0,0.2,0.2191
2,7,1.0,1.1667,0.4278
2,21,0.0,5.25,3.5625
25,420,10.0,176.0024,182.8625
3,9,2.0,2.25,1.3125
9,116,4.0,23.4833,38.3272
4,14,2.0,2.3905,1.1823
63,519,13.0,188.6937,197.2768
9,12,2.0,3.5,6.5
16,40,4.0,15.4024,21.1036
1,23,1.0,2.3,4.4366
60,235,7.0,77.4357,90.4409
13,6,2.0,2.75,4.2708
1,4,1.0,1.0,0.25
3,5,1.0,0.4545,0.4257
36,454,12.0,162.4143,162.2877
67,769,14.0,352.1333,191.3378
38,195,8.0,84.5768,96.7619
7,114,5.0,38.0,68.525
7,78,3.0,14.0714,16.5269
11,15,2.0,3.0476,2.7766
21,164,7.0,44.4917,64.2043
5,7,1.0,2.1429,3.6871
1,2,1.0,0.4,0.9133
4,0,0.0,0.0,0.0
8,1,1.0,0.5,0.75
1,1,1.0,0.2,0.1567
6,5,2.0,1.5833,2.0486
1,0,0.0,0.0,0.0
2,88,0.0,19.3333,20.6944
9,28,2.0,13.5,7.5833
28,59,4.0,16.7076,12.8091
2,0,0.0,0.0,0.0
7,39,3.0,9.3,10.1433
22,66,5.0,16.3429,18.4882
27,66,4.0,38.2857,46.4789
3,13,2.0,3.5,1.4583
3,6,2.0,3.0,4.5
81,1705,22.0,1087.3667,1198.2456
1,4,1.0,0.4444,0.5907
26,288,10.0,82.3167,56.9842
2,8,0.0,3.3333,3.4444
7,20,3.0,5.75,8.3542
1,1,1.0,0.25,0.1458
1,0,0.0,0.0,0.0
15,190,6.0,58.45,71.8997
1,13,1.0,2.1667,0.7944
9,70,3.0,18.3095,9.9779
41,595,9.0,153.031,95.289
2,13,0.0,5.3,2.41
41,94,6.0,24.0583,12.945
5,47,4.0,13.6667,9.8889
11,99,6.0,20.6,26.5783
1,0,0.0,0.0,0.0
4,7,1.0,1.95,1.0192
20,37,3.0,10.1667,9.125
1,19,1.0,2.375,1.507
1,0,0.0,0.0,0.0
52,136,6.0,54.5833,49.4375
462,14829,53.0,5801.6786,5913.5674
3,33,2.0,13.5,22.25
11,100,6.0,30.7333,22.1189
7,6,2.0,2.0833,0.8819
1,5,1.0,0.7143,0.102
1,0,0.0,0.0,0.0
2,1,1.0,0.5,0.75
2,0,0.0,0.0,0.0
30,153,5.0,48.3667,41.5036
13,47,3.0,12.7308,5.1059
13,28,3.0,6.3667,11.1622
45,418,10.0,131.5333,96.5094
3,1,1.0,0.2,0.1567
11,170,5.0,61.1667,50.6806
15,115,6.0,67.4167,61.7014
25,211,7.0,70.9167,97.3099
37,2228,21.0,1122.9667,1021.4017
2,0,0.0,0.0,0.0
1,1,1.0,0.1667,0.1583
2,1,1.0,0.25,0.0625
1,6,1.0,1.5,0.375
148,4023,30.0,1248.2571,685.757
2,0,0.0,0.0,0.0
1,3,1.0,0.4286,0.3255
4,79,3.0,27.3333,9.6111
9,6,1.0,1.4667,1.1794
8,51,4.0,13.9111,17.1414
2,9,0.0,3.75,3.0625
2,13,0.0,4.3333,6.2778
3,3,1.0,0.375,1.0192
1,3,1.0,0.75,0.4375
6,374,0.0,87.4333,38.5117
1,6,1.0,1.0,0.6167
5,0,0.0,0.0,0.0
9,6,1.0,1.0917,0.3004
1,3,1.0,0.75,1.5625
25,347,10.0,149.5833,168.5208
24,138,5.0,54.575,66.9078
13,34,3.0,6.131,10.4376
19,228,10.0,52.85,83.7162
1,1,1.0,0.25,0.5208
1,60,1.0,7.5,9.1339
4,2,1.0,0.3333,0.3167
26,98,5.0,42.75,65.5625
7,11,2.0,2.125,3.8862
69,962,13.0,313.3155,195.6187
1,0,0.0,0.0,0.0
2,3,1.0,0.7333,0.9244
9,54,5.0,14.9667,19.7294
2,89,0.0,16.8333,10.2056
3,2,1.0,0.4583,0.3113
71,546,15.0,154.4524,153.4913
18,33,3.0,5.0774,2.819
11,15,2.0,3.831,4.9589
18,106,3.0,48.0,62.4583
95,451,12.0,135.7286,197.6065
10,225,8.0,27.0096,39.6832
4,16,2.0,4.8,4.36
149,1312,15.0,468.6337,599.0329
2,16,0.0,3.3333,2.4333
9,22,2.0,7.0,11.0944
1,75,1.0,15.0,6.75
2,2,1.0,0.2222,0.6287
6,6,1.0,1.4667,3.0489
26,33,3.0,13.2833,16.6553
12,26,3.0,5.5357,10.4033
1,2,1.0,0.25,0.067
65,805,16.0,494.9929,506.2481
35,46,4.0,14.6841,18.0656
13,107,5.0,19.625,18.9817
2,1,1.0,0.25,0.0625
1,2,1.0,0.4,0.9133
8,9,2.0,1.9667,2.3767
108,1288,19.0,384.504,509.8958
24,318,7.0,127.7167,92.2392
14,16,2.0,2.369,1.6966
3,1,1.0,0.5,0.75
1,0,0.0,0.0,0.0
2,34,0.0,9.25,6.1458
7,15,2.0,2.8071,1.669
18,76,6.0,27.6714,26.4231
3,1,1.0,0.3333,0.2778
40,82,5.0,32.619,21.3456
3,9,0.0,1.4286,1.1088
12,10,1.0,3.1167,2.6247
1,0,0.0,0.0,0.0
39,352,10.0,85.6292,74.397
56,116,6.0,22.6143,15.1691
14,245,5.0,37.3705,62.5148
1,2,1.0,0.3333,0.1222
6,56,4.0,28.0,42.0
44,259,9.0,64.2729,84.7973
14,203,5.0,83.3048,123.2295
1,0,0.0,0.0,0.0
30,150,8.0,74.5,79.0
3,0,0.0,0.0,0.0
3,57,0.0,18.3462,9.9056
44,296,10.0,181.3333,189.9028
2,25,0.0,8.3333,15.2778
1,0,0.0,0.0,0.0
5,47,2.0,8.3333,7.7028
9,33,3.0,8.8667,5.5956
2,3,1.0,1.5,2.25
73,397,11.0,126.7587,95.4212
3,5,1.0,1.25,0.7292
2,3,1.0,0.75,0.4375
1,4,1.0,0.6667,0.4111
16,72,4.0,14.575,18.3796
